F1_CV_Train,F1_Test,Dataset,Visit,Type
0.6534904107708825,0.6202049186367464,Same_Participants_1,1,Same
0.6563961025135802,0.6199150447674076,Same_Participants_2,2,Same
0.6536114649703817,0.621614986006209,Same_Participants_3,3,Same
0.6475214697514197,0.6635866753607922,Same_Participants_4,4,Same
0.6459188606498295,0.6638821762993983,Same_Participants_5,5,Same
0.6498730437765416,0.6361714867199466,Same_Participants_6,6,Same
0.6300828382147196,0.6798462448312863,New_Participants_1,1,New
0.6334243489372411,0.6878848115215928,New_Participants_2,2,New
0.6334349471665944,0.8419500488860837,New_Participants_3,3,New
0.6269247406839277,0.7834550126767637,New_Participants_4,4,New
0.6228516314283831,0.7805473852935283,New_Participants_5,5,New
0.6262031380725427,0.7319279778389964,New_Participants_6,6,New
